ServiceRateID,StartDate,EndDate,FiscalYear,Rate
8989,2002-07-01,2003-06-30,2003,30.000000
8990,2003-07-01,2004-06-30,2004,30.000000
8991,2004-07-01,2005-06-30,2005,30.000000
8992,2005-07-01,2006-06-30,2006,30.000000
8993,2006-07-01,2007-06-30,2007,30.000000
8994,2007-07-01,2008-06-30,2008,30.000000
8995,2008-07-01,2009-06-30,2009,30.000000
8996,2009-07-01,2010-06-30,2010,30.000000
8997,2010-07-01,2011-06-30,2011,31.520000
8998,2011-07-01,2012-06-30,2012,33.900000
8999,2012-07-01,2013-06-30,2013,36.450000
9000,2013-07-01,2014-06-30,2014,39.190000
9001,2014-07-01,2015-06-30,2015,42.140000
9002,2015-07-01,2016-06-30,2016,43.890000
9003,2016-07-01,2017-06-30,2017,45.250000
9004,2017-07-01,2018-06-30,2018,47.750000
9005,2018-07-01,2019-06-30,2019,44.750000
9006,2019-07-01,2020-06-30,2020,48.380000
9007,2020-07-01,2021-06-30,2021,61.930000
9008,2021-07-01,2022-06-30,2022,65.030000
9009,2022-07-01,2023-06-30,2023,67.630000
